Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",13117.199999999999,1166.2,178.5,57.8
"Sun, Oct 12",15789.6,1334.5,197.2,154.7
"Mon, Oct 13",17816.0,1502.8,246.5,134.29999999999998
"Tue, Oct 14",16773.899999999998,1405.8999999999999,234.6,156.4
"Wed, Oct 15",16648.1,1414.3999999999999,238.0,159.79999999999998
"Thu, Oct 16",16150.0,1339.6,219.29999999999998,103.7
"Fri, Oct 17",15449.6,1326.0,215.9,74.8
"Sat, Oct 18",13028.8,1108.3999999999999,159.79999999999998,105.39999999999999
"Sun, Oct 19",14337.8,1184.8999999999999,204.0,130.9
"Mon, Oct 20",17843.2,1462.0,260.09999999999997,166.6
"Tue, Oct 21",17936.7,1468.8,243.1,120.7
"Wed, Oct 22",16552.899999999998,1361.7,217.6,119.0
"Thu, Oct 23",13899.199999999999,1091.3999999999999,207.4,115.6
"Fri, Oct 24",15983.4,1184.8999999999999,329.8,159.79999999999998
"Sat, Oct 25",14737.3,1137.3,215.9,137.7
"Sun, Oct 26",15097.699999999999,1178.1,260.09999999999997,171.7
"Mon, Oct 27",16413.5,1310.7,362.09999999999997,202.29999999999998
"Tue, Oct 28",15973.199999999999,1251.2,275.4,204.0
"Wed, Oct 29",15745.4,1235.8999999999999,341.7,163.2
"Thu, Oct 30",15823.6,1237.6,351.9,113.89999999999999
"Fri, Oct 31",14815.5,1227.3999999999999,309.4,209.1
"Sat, Nov 1",14361.6,1181.5,241.4,170.0
"Sun, Nov 2",15021.199999999999,1230.8,309.4,175.1
